log_yield,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
2.966141733,30.875,6.422252909,30.10000038,2.900000095,4.833330154,26.83329964,0.89962101,6.624080181,0.595000029,7,78,15,12,33.09999847
2.610660163,32.125,5.575949502,31.79999924,2.466670036,4.400000095,26.70000076,0.836117029,7.212659836,0.730000019,18,64,18,12,33.20000076
2.766412847,32.125,6.55567727,32.40000153,2.366669893,4.333330154,26.43330002,0.803919971,7.138179779,0.620999992,7,72,20,12,33.20000076
2.862131379,32.125,5.798985386,31.89999962,2.299999952,4,26.43330002,0.71153897,6.920909882,0.616999984,6,81,13,12,33.5
2.716837723,32.625,5.649357254,32.5,2.433330059,4.266670227,26.13330078,0.742232978,7.180190086,0.699000001,8,73,18,12,33
2.806179974,32.875,5.69855549,32.90000153,2.299999952,3.766669989,26.13330078,0.617116988,7.231289864,0.702000022,7,72,20,12,33.40000153
2.791690649,31.875,6.437028463,32.40000153,2.366669893,4.433330059,26.43330002,0.893876016,7.04406023,0.628000021,6,79,14,12,33.29999924
2.767897616,30.875,6.672168171,30.5,2.533329964,4.766670227,26.86669922,0.99220401,6.452670097,0.630999982,7,72,20,12,33.5
2.819543936,31.375,6.521118723,31.79999924,2.366669893,4.400000095,26.36669922,0.927811027,6.769909859,0.568000019,6,82,12,12,33.29999924
2.691965103,32.125,5.640117551,31.89999962,2.299999952,4,26.43330002,0.71153897,6.920909882,0.638999999,6,82,12,12,33.5
2.733999287,32.375,5.339274507,32.29999924,2.233330011,3.833329916,26.5333004,0.701242983,7.049409866,0.685000002,6,82,12,12,33.59999847
2.709269961,31.625,6.475276804,32.5,2.299999952,4.166669846,26.26670074,0.847276986,6.985760212,0.566999972,6,79,14,12,33.29999924
2.771587481,32.625,5.665473107,33,2.200000048,3.866669893,26.29999924,0.658452988,7.331850052,0.716000021,7,78,15,12,33.40000153
2.880241776,31.125,5.677618814,32.40000153,2.366669893,4.766670227,26.70000076,0.972189009,6.68708992,0.671000004,3,92,5,12,34.09999847
2.875639937,32.875,5.562936096,32.90000153,2.299999952,3.766669989,26.13330078,0.617116988,7.231289864,0.702000022,7,72,20,12,33.40000153
2.863917377,31.625,6.043578782,30.70000076,2.266669989,4.566669941,26.73329926,0.947565019,6.664609909,0.67900002,4,88,8,12,33.40000153
2.741151599,31.875,6.443915113,32.29999924,2.266669989,4.033329964,26.4666996,0.808852017,6.940849781,0.633000016,6,82,12,12,33.59999847
2.836956737,31.625,6.846959835,32.5,2.299999952,4.166669846,26.26670074,0.847276986,6.985760212,0.589999974,6,79,14,12,33.29999924
2.944482672,33.125,6.075860708,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.742999971,10,54,36,11,32.90000153
3.043362278,33.875,7.080435882,34.70000076,2.466670036,4.366670132,26.86669922,0.864930987,8.393659592,0.522000015,54,22,23,11,33.59999847
2.931457871,33.875,6.476687178,34.20000076,2.799999952,4.699999809,25.89999962,0.822229028,8.076769829,0.688000023,20,15,65,11,32.5
3.000434077,33.375,6.487575279,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.734000027,11,40,48,11,32.90000153
2.830588669,33.875,5.982420948,33.5,2.833329916,4.666669846,26.13330078,0.800378978,7.906589985,0.676999986,34,17,49,11,32.70000076
3.014520539,34.125,7.240870009,34.79999924,2.5,4.266670227,26.86669922,0.798246026,8.618570328,0.518000007,50,19,30,11,33.59999847
2.966610987,32.375,6.206449684,32.70000076,2.866669893,4.599999905,26.93330002,0.821676016,7.496520042,0.676999986,13,17,70,12,33.5
3.053078443,33.125,6.917224571,34.09999847,2.700000048,4.633329868,26.73329926,0.892858982,8.032250404,0.740999997,13,19,69,11,33.5
3.056904851,33.125,7.024313435,34,2.5,4.533329964,26.9666996,0.919321001,8.069299698,0.488999993,50,19,30,11,33.59999847
2.999130541,32.875,6.590778547,32.90000153,2.666670084,4.666669846,27.0333004,0.929443002,7.654349804,0.629999995,20,43,37,12,33.59999847
2.947433722,31.625,5.787914369,30.5,2.900000095,4.800000191,26.9666996,0.88261801,6.966589928,0.781000018,13,17,70,12,33.20000076
3.051152522,33.625,7.215168706,34.79999924,2.633330107,4.566669941,26.60000038,0.867947996,8.314430237,0.536000013,50,19,30,11,33.40000153
2.888179494,33.875,5.712911378,33.29999924,2.833329916,4.666669846,26.16670036,0.772050023,7.808129787,0.754000008,15,39,45,11,32.79999924
2.84509804,33.875,6.219086819,33.5,2.833329916,4.666669846,26.13330078,0.800378978,7.906589985,0.676999986,34,17,49,11,32.70000076
3.003891166,33.375,6.265970006,33.79999924,2.766669989,4.633329868,26.26670074,0.856481016,7.939330101,0.742999971,11,40,48,11,32.90000153
2.951823035,33.125,5.857277603,33.09999847,2.833329916,4.733329773,26.20000076,0.838288009,7.833280087,0.700999975,12,46,42,11,32.59999847
2.994317153,34.375,6.850194923,35.40000153,2.733330011,4.699999809,25.83329964,0.88775301,8.302729607,0.70599997,13,18,69,9,32.79999924
3.01494035,34.375,6.716594917,35,2.666670084,4.466670036,26.43330002,0.825722992,8.470600128,0.524999976,33,15,51,11,33.40000153
3.060320029,32.875,6.884242547,32.90000153,2.666670084,4.666669846,27.0333004,0.929443002,7.654349804,0.629999995,20,43,37,12,33.59999847
3.051923916,33.625,7.108785396,34.70000076,2.466670036,4.366670132,26.86669922,0.864930987,8.393659592,0.522000015,33,15,51,11,33.59999847
3.051538391,33.875,7.060687153,34.79999924,2.633330107,4.566669941,26.60000038,0.867947996,8.314430237,0.632000029,50,19,30,11,33.40000153
3.033021445,34.625,6.34517899,34.70000076,2.799999952,4.633329868,26.23329926,0.818489015,8.401780128,0.671999991,13,22,66,11,33
2.945468585,34.625,6.804229554,34.59999847,2.733330011,4.5,26.70000076,0.80151403,8.522109985,0.523999989,54,22,23,11,33.40000153
2.979548375,32.375,6.351041432,32,2.666670084,4.599999905,27,0.904533982,7.32269001,0.713,13,17,70,12,33.5
3.046885191,33.375,7.311306859,34,2.5,4.533329964,26.9666996,0.919321001,8.069299698,0.518000007,54,22,23,11,33.59999847
2.964730921,33.625,6.229839971,34.20000076,2.799999952,4.699999809,25.89999962,0.822229028,8.076769829,0.734000027,13,20,67,11,32.5
2.978180517,34.125,6.152641142,35.40000153,2.733330011,4.699999809,25.83329964,0.88775301,8.302729607,0.735000014,11,40,48,9,32.79999924
3.012415375,32.875,7.164704551,33.40000153,2.733330011,4.733329773,26.89999962,0.938526988,7.745319843,0.707000017,13,17,70,12,33.5
2.969881644,36.125,6.567515231,36.79999924,2.866669893,4.199999809,24.79999924,0.606779993,8.836990356,0.74000001,13,17,70,9,32.09999847
2.967547976,35.375,5.410950916,35.20000076,2.866669893,4.466670036,25.29999924,0.730297029,8.569660187,0.731999993,12,35,53,9,32.09999847
2.973127854,35.875,7.1478137,35.59999847,2.733330011,4.199999809,25.73329926,0.668103993,8.80671978,0.569999993,13,17,70,9,32.59999847
2.923244019,36.125,6.790210053,36.70000076,2.733330011,4.066669941,25.73329926,0.590068996,8.983550072,0.610000014,13,17,70,9,32.90000153
2.913813852,35.125,6.749095374,35.09999847,2.833329916,4.400000095,25.76670074,0.731540978,8.6416502,0.736000001,13,18,69,9,32.5
2.944482672,35.125,5.653311908,34.40000153,3.066669941,4.466670036,24.29999924,0.645439029,8.186220169,0.773000002,15,23,62,9,31.20000076
2.976349979,35.875,6.823923485,35.40000153,2.799999952,4.300000191,25.23329926,0.659889996,8.735329628,0.639999986,12,35,53,9,31.89999962
2.915399835,35.125,5.185185054,35.59999847,3,4.5,24.20000076,0.670764029,8.370129585,0.765999973,13,17,70,9,31.5
2.942008053,35.125,6.344179398,35.20000076,2.866669893,4.466670036,25.29999924,0.730297029,8.569660187,0.763000011,10,56,34,9,32.09999847
2.903089987,35.125,5.46362427,35.90000153,2.900000095,4.566669941,24.86669922,0.730919003,8.491640091,0.759000003,13,41,47,9,32.09999847
2.971739591,35.625,7.21656039,35.59999847,2.733330011,4.199999809,25.73329926,0.668103993,8.80671978,0.584999979,13,18,69,9,32.59999847
2.92890769,35.625,5.610238437,36.20000076,2.900000095,4.400000095,24.79999924,0.672118008,8.643170357,0.721000016,13,26,61,9,32
2.976808337,36.375,6.563276468,36.70000076,2.733330011,4.066669941,25.73329926,0.590068996,8.983550072,0.671999991,13,21,66,9,32.90000153
2.962369336,35.875,6.901322072,35.5,2.566669941,4.099999905,25.89999962,0.66940701,8.745710373,0.597000003,47,22,31,9,32.90000153
2.926856709,35.125,5.840975069,35.09999847,3,4.5,24.36669922,0.656898022,8.361650467,0.68900001,17,16,67,9,31.39999962
2.899273187,35.125,5.68495751,35.20000076,2.866669893,4.466670036,25.29999924,0.730297029,8.569660187,0.722000003,16,46,38,9,32.09999847
2.958085849,35.625,6.902965761,35.40000153,2.799999952,4.300000191,25.23329926,0.659889996,8.735329628,0.690999985,13,17,70,9,31.89999962
2.944482672,36.375,5.805646278,36.70000076,2.733330011,4.066669941,25.73329926,0.590068996,8.983550072,0.615999997,13,17,70,9,32.90000153
2.938519725,35.875,5.41676695,35.29999924,3.033329964,4.266670227,24.39999962,0.539359987,8.364109993,0.665000021,15,16,68,9,31.5
2.890979597,35.125,6.438895337,35,2.700000048,4.400000095,26.43330002,0.793533981,8.677289963,0.56400001,13,17,70,11,33.09999847
2.962369336,35.375,6.860550789,35,2.700000048,4.400000095,26.43330002,0.793533981,8.677289963,0.606000006,13,18,69,11,33.09999847
2.924279286,36.375,5.276698419,36.70000076,2.799999952,4.099999905,25.39999962,0.571017027,8.941269875,0.713,16,24,60,9,32.59999847
2.830588669,32.375,6.29293822,36.90000153,0.400000006,1.799999952,26.93330002,0.637467027,7.925030231,0.202999994,3,92,5,10,35.09999847
2.827369273,35.875,4.437322397,40.40000153,0.433333009,2.400000095,25.5333004,0.853290975,9.190159798,0.351999998,17,48,35,9,34.20000076
3.019946682,28.875,3.865044722,31.39999962,1,2.433330059,29.5,0.782140017,6.932549953,0.405999988,17,57,26,12,36.20000076
2.868644438,29.875,5.723169058,29.79999924,2.266669989,3.433330059,28.39999962,0.766880989,6.641670227,0.55400002,56,22,23,12,35
2.845718018,34.125,6.728333812,38.20000076,0.366667002,2.266669989,24.86669922,0.824024022,8.31400013,0.210999995,18,43,39,9,33.20000076
2.785329835,33.625,5.651614268,39.5,0.766667008,2.366669893,28.26670074,0.820707023,9.132060051,0.30399999,37,29,34,9,36.29999924
2.910624405,28.375,6.042899833,29.39999962,1.366670012,2.966670036,28.43330002,0.896795988,6.299709797,0.488000005,25,53,22,12,34.90000153
2.835056102,31.125,5.654034001,35.29999924,1.566669941,2.866669893,28.66670036,0.669463992,8.005689621,0.469000012,40,29,31,12,36.09999847
3.085647288,29.375,4.540592225,31.79999924,1.133329988,2.566669941,29.29999924,0.733609021,7.12364006,0.469999999,51,17,31,12,35.90000153
2.729974286,32.625,6.06378881,37.59999847,0.533333004,2.033329964,27.23329926,0.716630995,8.362380028,0.259000003,50,26,24,9,35.09999847
2.865103975,29.125,5.730161065,25.10000038,2.033329964,3.700000048,28.06669998,0.824437022,6.295499802,0.542999983,45,27,28,12,32.40000153
3.029383778,30.625,6.034108837,32.59999847,2.299999952,3.433330059,28.5,0.726553023,7.287660122,0.542999983,10,59,31,12,35.79999924
2.797267541,34.375,6.359259328,38.70000076,0.533333004,2.233330011,25.86669922,0.812216997,8.719499588,0.257999986,36,31,33,9,33.90000153
3.058805487,30.375,6.20195643,31.89999962,2.200000048,3.400000095,28.66670036,0.801276982,7.090879917,0.524999976,10,59,31,12,36
2.770115295,29.875,5.534789894,32.79999924,1.733330011,3.333329916,28.43330002,0.891372979,7.163980007,0.536000013,44,13,43,12,35.79999924
2.860936621,28.625,6.112705856,28.20000076,1.633329988,3.400000095,28.39999962,1.02986002,6.303009987,0.317000002,43,38,19,12,34.29999924
2.860338007,26.125,6.964907853,26,0.866666973,2.833329916,29.10000038,1.034700036,5.48691988,0.361999989,55,20,25,12,35.09999847
2.881384657,35.375,5.79798523,39.70000076,0.5,2.433330059,25.20000076,0.857189,8.957099915,0.291000009,35,12,53,9,33.79999924
2.910090546,34.625,6.897674696,38.70000076,0.433333009,2.400000095,24.86669922,0.834302008,8.578669548,0.264999986,36,31,33,9,33.29999924
2.755112266,34.375,6.424098875,40,0.633333027,2.366669893,27.5,0.847455978,9.196820259,0.349999994,37,29,34,9,35.59999847
2.851258349,33.625,6.994398812,37.59999847,0.400000006,2.166670084,25,0.786053002,8.13792038,0.275999993,11,59,30,9,33.20000076
2.73239376,31.875,4.589782103,36.90000153,0.699999988,2.099999905,27.20000076,0.712816,8.005889893,0.268999994,29,23,48,10,35.40000153
2.662757832,31.875,5.452392184,36,1.100000024,2.599999905,27.63330078,0.736495018,8.003749847,0.374000013,50,21,29,11,35.09999847
2.783903579,33.125,5.640228936,36.29999924,1.833330035,3.466670036,28.10000038,0.846741021,8.54831028,0.465999991,52,15,32,11,35.40000153
2.791690649,34.875,6.437730591,40.29999924,0.600000024,2.5,27.26670074,0.881458998,9.264639854,0.381999999,4,89,8,9,35.59999847
2.865103975,29.625,5.242700409,30.89999962,2.166670084,3.400000095,28.39999962,0.811424017,6.734350204,0.583000004,5,86,8,12,35.59999847
2.691965103,31.375,6.294568946,35.70000076,0.93333298,2.266669989,27.13330078,0.732989013,7.69712019,0.328000009,34,27,39,11,34.90000153
2.627365857,34.125,6.385532813,40,0.633333027,2.366669893,27.5,0.847455978,9.196820259,0.379000008,4,89,8,9,35.59999847
2.866287339,33.625,7.153593912,38,0.5,2.133330107,26.06669998,0.794870019,8.590740204,0.25,30,36,34,9,33.79999924
2.799340549,32.625,7.319964884,37.40000153,0.466666996,1.933330059,27.06669998,0.703239024,8.285949707,0.177000001,10,58,32,9,34.90000153
2.918030337,34.875,6.336712232,38.59999847,0.400000006,2.366669893,24.70000076,0.840273976,8.467909813,0.186000004,35,31,33,9,33.20000076
2.743509765,33.375,5.043417298,35.90000153,2.400000095,3.766669989,27.16670036,0.802080989,8.399720192,0.584999979,19,48,33,11,34.5
2.720159303,33.625,6.229978607,38.79999924,0.533333004,2.166670084,27.06669998,0.806178987,8.815309525,0.368000001,8,68,23,9,35
2.847572659,34.875,6.060390704,40,0.533333004,2.366669893,26.89999962,0.841489971,9.105460167,0.404000014,4,89,8,9,35.20000076
2.804139432,32.375,6.45080748,35.29999924,1.933330059,3.266669989,28.26670074,0.778255999,8.193909645,0.519999981,52,15,32,12,35.59999847
3.029789471,31.875,5.907575265,37.29999924,0.233333007,1.299999952,27.26670074,0.435802996,8.064889908,0.136000007,4,88,8,10,36
2.830588669,31.375,5.981194568,34.20000076,1.966670036,3.166670084,28.60000038,0.717477024,7.756989956,0.513000011,37,33,30,12,36.20000076
2.646403726,32.875,6.698693618,37.20000076,0.733332992,2.333329916,27.66670036,0.78175199,8.446029663,0.284000009,19,42,39,10,35.29999924
2.872156273,34.125,7.116872059,38.70000076,0.533333004,2.233330011,25.86669922,0.812216997,8.719499588,0.268000007,36,31,33,9,33.90000153
2.689308859,33.875,6.074092013,39.5,0.766667008,2.366669893,28.26670074,0.820707023,9.132060051,0.347000003,37,29,34,9,36.29999924
2.872156273,29.625,6.754094031,28.79999924,2.366669893,3.5,28.13330078,0.732161999,6.563000202,0.504999995,56,22,23,12,34.09999847
2.998695158,28.875,5.499970106,31.79999924,0.733332992,2.233330011,30.23329926,0.799004972,7.131659985,0.40200001,6,80,14,12,36.90000153
2.938519725,32.875,7.428622097,36.90000153,0.400000006,2,26.5,0.713931024,7.903100014,0.216999993,3,92,5,10,34.70000076
2.916453949,33.125,6.363107266,37.79999924,0.533333004,2.066669941,27.0333004,0.738703012,8.551819801,0.254999995,53,23,24,9,34.70000076
2.664641976,31.875,6.750610824,36.79999924,0.5,1.833330035,27.29999924,0.648541987,8.029760361,0.165000007,33,15,53,10,35.40000153
2.825426118,28.625,5.311764453,29.20000076,1.566669941,3.200000048,28.26670074,0.946605027,6.395800114,0.479000002,15,54,31,12,34.59999847
2.88422877,35.375,5.37044832,40,0.56666702,2.466670036,25.93330002,0.834846973,9.105429649,0.398000002,17,48,35,9,34.40000153
2.931966115,34.125,7.3452719,38.20000076,0.466666996,2.299999952,25.36669922,0.824989021,8.55753994,0.284999996,35,31,33,9,33.40000153
2.729974286,34.625,6.783901079,40,0.533333004,2.366669893,26.89999962,0.841489971,9.105460167,0.328999996,24,41,35,9,35.20000076
2.932980822,34.375,5.96034185,40.70000076,0.699999988,2.466670036,27.89999962,0.867030978,9.38313961,0.389999986,8,76,17,9,36.20000076
2.873320602,35.875,5.122461636,39.59999847,0.333332986,2.166670084,25,0.784316003,8.804759979,0.259000003,10,63,27,9,33.70000076
2.737192643,33.125,6.785055431,38.09999847,0.866666973,2.466670036,28.26670074,0.798246026,8.832220078,0.284000009,37,29,34,10,35.79999924
2.909556029,29.875,4.663644397,32.79999924,1.733330011,3.333329916,28.43330002,0.891372979,7.163980007,0.483999997,51,17,31,12,35.79999924
2.941511433,26.125,7.011545831,27.10000038,0.733332992,2.066669941,29.33329964,0.746303976,5.64508009,0.372000009,54,18,28,12,35.90000153
2.870988814,31.875,6.462102877,35.40000153,1.600000024,3.066669941,28.86669922,0.743864,8.213350296,0.501999974,55,20,25,12,36.20000076
2.872738827,33.625,7.122761304,37.29999924,0.400000006,2.166670084,25.23329926,0.793533981,8.265099525,0.256000012,11,59,30,9,33.09999847
2.758154622,31.375,5.603815332,32.5,2.733330011,3.666670084,27.73329926,0.558339,7.320059776,0.684000015,10,60,30,12,34.70000076
2.58546073,32.125,6.851457711,37.40000153,0.533333004,1.966670036,27.56669998,0.703831017,8.244480133,0.245000005,22,37,40,10,35.59999847
3.046885191,31.375,5.996484966,36.5,0.333332986,1.866670012,25.83329964,0.644499004,7.652150154,0.122000001,25,31,45,9,34.59999847
2.712649702,33.125,5.535024343,36.5,2.133330107,3.666670084,27.39999962,0.862694979,8.539649963,0.579999983,57,23,21,11,34.90000153
2.812244697,28.875,6.397046528,28.20000076,1.633329988,3.400000095,28.39999962,1.02986002,6.303009987,0.513000011,39,40,21,12,34.29999924
2.872738827,27.625,6.21596653,29.89999962,1.033329964,2.799999952,28.9666996,0.983038008,6.247779846,0.428000003,14,54,32,12,35.79999924
2.696356389,32.875,6.765791674,36.70000076,0.899999976,2.466670036,28.23329926,0.756136,8.535220146,0.261000007,35,33,32,11,35.5
2.880813592,28.875,5.281131129,30.39999962,1.466670036,2.933330059,28.20000076,0.825125992,6.539589882,0.442000002,31,49,21,12,34.90000153
2.802089258,33.125,5.631961975,38.20000076,0.56666702,2.233330011,27.29999924,0.800521016,8.631489754,0.414999992,10,58,33,9,35.09999847
2.658964843,33.625,5.69068328,38.79999924,0.533333004,2.166670084,27.06669998,0.806178987,8.815309525,0.368000001,8,68,23,9,35
2.903089987,29.375,4.940182667,32.09999847,0.633333027,1.966670036,29.56669998,0.705981016,7.220940113,0.331999987,25,35,40,12,36.29999924
2.802089258,27.375,6.411165142,27.29999924,1.100000024,3.033329964,29,1.053850055,5.86232996,0.488999993,8,79,14,12,35.09999847
2.854306042,33.625,6.338997829,39.5,0.766667008,2.366669893,28.26670074,0.820707023,9.132060051,0.307999998,18,49,32,9,36.29999924
2.8162413,33.625,5.547043294,36.59999847,2.299999952,3.933330059,27.16670036,0.853290975,8.567520142,0.578000009,56,21,23,10,34.59999847
2.904174368,34.125,7.169878927,38,0.400000006,2.299999952,25.06669998,0.828288019,8.420980453,0.280000001,4,89,8,9,33.20000076
2.911690159,28.375,4.595804748,31.5,0.800000012,2.366669893,30.13330078,0.793677986,6.894060135,0.351999998,45,34,21,12,37
2.7084209,31.625,5.584012172,35.40000153,1.933330059,3.200000048,28.43330002,0.753325999,8.034029961,0.582000017,19,48,33,12,36.20000076
2.882524538,28.375,5.642886738,30.5,1.133329988,2.733330011,28.9666996,0.881587982,6.484729767,0.472000003,24,51,24,12,35.79999924
