Species,Height_in,Gender (only for crested),"Samplers (e.g., Alice & Kevin)"
Crested,11,J,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,10,J,Andrew & Alanna
Crested,12,F,Andrew & Alanna
Crested,3,F,Andrew & Alanna
Crested,9,F,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,10,F,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,5,J,Andrew & Alanna
Crested,6,J,Andrew & Alanna
Crested,10.5,J,Andrew & Alanna
Crested,0,F,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,10,F,Andrew & Alanna
Crested,17,J,Andrew & Alanna
Crested,19,F,Andrew & Alanna
Crested,14,F,Andrew & Alanna
Crested,14,F,Andrew & Alanna
Crested,15,J,Andrew & Alanna
Crested,14,J,Andrew & Alanna
Crested,17,F,Andrew & Alanna
Crested,15,J,Andrew & Alanna
Crested,0,F,Andrew & Alanna
Crested,13,F,Andrew & Alanna
Crested,14,J,Andrew & Alanna
Crested,14,M,Andrew & Alanna
Crested,12,J,Andrew & Alanna
Crested,17,F,Andrew & Alanna
Crested,8,J,Andrew & Alanna
Crested,14,M,Andrew & Alanna
Crested,10,J,Andrew & Alanna
Crested,4,J,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,0,J,Andrew & Alanna
Crested,0,F,Andrew & Alanna
Crested,7,J,Andrew & Alanna
Crested,50,Male,Alice & Kevin
Crested,3,Juvenile,Alice & Kevin
Crested,16,Juvenile,Alice & Kevin
Crested,0,Juvenile,Alice & Kevin
Crested,14,Juvenile,Alice & Kevin
Crested,20,Juvenile,Alice & Kevin
Crested,18,Male,Alice & Kevin
Crested,3,Juvenile,Alice & Kevin
Crested,18,Juvenile,Alice & Kevin
Crested,0,Juvenile,Alice & Kevin
Crested,20,Male,Alice & Kevin
Crested,15,Female,Alice & Kevin
Crested,0,Male,Alice & Kevin
Crested,0,Juvenile,Alice & Kevin
Crested ,97,Male,"Amanda, Brian and Sebastian"
Crested ,68,Unkown,"Amanda, Brian and Sebastian"
Crested ,108,Unkown,"Amanda, Brian and Sebastian"
Crested ,13.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,22,Unkown,"Amanda, Brian and Sebastian"
Crested ,25,Unkown,"Amanda, Brian and Sebastian"
Crested ,9.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,23,Unkown,"Amanda, Brian and Sebastian"
Crested ,39,Unkown,"Amanda, Brian and Sebastian"
Crested ,24,Unkown,"Amanda, Brian and Sebastian"
Crested ,20,Unkown,"Amanda, Brian and Sebastian"
Crested ,0,Unkown,"Amanda, Brian and Sebastian"
Crested ,47.5,Male,"Amanda, Brian and Sebastian"
Crested ,61.5,Male,"Amanda, Brian and Sebastian"
Crested ,59,Male,"Amanda, Brian and Sebastian"
Crested ,68.75,Unkown,"Amanda, Brian and Sebastian"
Crested ,53,Unkown,"Amanda, Brian and Sebastian"
Crested ,32,Unkown,"Amanda, Brian and Sebastian"
Crested ,10,Unkown,"Amanda, Brian and Sebastian"
Crested ,15,Unkown,"Amanda, Brian and Sebastian"
Crested ,9.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,11,Unkown,"Amanda, Brian and Sebastian"
Crested ,69,Unkown,"Amanda, Brian and Sebastian"
Crested ,18,Unkown,"Amanda, Brian and Sebastian"
Crested ,13,Unkown,"Amanda, Brian and Sebastian"
Crested ,53,Unkown,"Amanda, Brian and Sebastian"
Crested ,16,Unkown,"Amanda, Brian and Sebastian"
Crested ,77,Unkown,"Amanda, Brian and Sebastian"
Crested ,125.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,9.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,5,Unkown,"Amanda, Brian and Sebastian"
Crested ,11,Unkown,"Amanda, Brian and Sebastian"
Crested ,18,Unkown,"Amanda, Brian and Sebastian"
Crested ,81,Unkown,"Amanda, Brian and Sebastian"
Crested ,20.5,Unkown,"Amanda, Brian and Sebastian"
Crested ,28,Unkown,"Amanda, Brian and Sebastian"
Crested ,0,Unkown,"Amanda, Brian and Sebastian"
Crested ,26,unknown,Tiffany and Bridget
Crested ,14,unknown,Tiffany and Bridget
Crested ,10,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,32,male,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,14,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,17,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,15.5,unknown,Tiffany and Bridget
Crested ,31,male,Tiffany and Bridget
Crested ,9,unknown,Tiffany and Bridget
Crested ,12,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,63,male,Tiffany and Bridget
Crested ,22,unknown,Tiffany and Bridget
Crested ,52,unknown,Tiffany and Bridget
Crested ,2,unknown,Tiffany and Bridget
Crested ,18,unknown,Tiffany and Bridget
Crested ,8.5,unknown,Tiffany and Bridget
Crested ,10.5,unknown,Tiffany and Bridget
Crested ,17,unknown,Tiffany and Bridget
Crested ,3.25,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,0,unknown,Tiffany and Bridget
Crested ,20,unknown,Tiffany and Bridget
Crested  ,3,Male,Shawn and Jian
Crested  ,15,,Shawn and Jian
Crested  ,8,Female,Shawn and Jian
Crested  ,17,,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,4,Female,Shawn and Jian
Crested  ,6,Female,Shawn and Jian
Crested  ,0,Male,Shawn and Jian
Crested  ,63,Male,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,31.5,Female,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,3.75,Female,Shawn and Jian
Crested  ,44.375,Female,Shawn and Jian
Crested  ,9.625,,Shawn and Jian
Crested  ,14.875,Female,Shawn and Jian
Crested  ,22.25,Female,Shawn and Jian
Crested  ,30.75,Female,Shawn and Jian
Crested  ,32.375,Female,Shawn and Jian
Crested  ,28.25,Female,Shawn and Jian
Crested  ,18.25,Female,Shawn and Jian
Crested  ,4,Female,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
Crested  ,31.5,Male,Shawn and Jian
Crested  ,0,Female,Shawn and Jian
